_id,max_value,count
"{'city': 'MNB', 'hour': '2016-02-02 14'}",15499.0,8
"{'city': 'MNB', 'hour': '2016-02-02 15'}",14195.0,3
"{'city': 'MNB', 'hour': '2016-02-02 13'}",13465.0,2
"{'city': 'MNB', 'hour': '2016-02-04 18'}",12936.0,2
"{'city': 'MNB', 'hour': '2016-02-04 17'}",11710.0,2
"{'city': 'MNB', 'hour': '2016-02-01 23'}",11312.0,2
"{'city': 'MNB', 'hour': '2016-02-02 00'}",11284.0,2
"{'city': 'MNB', 'hour': '2016-02-03 17'}",11160.0,2
"{'city': 'MNB', 'hour': '2016-02-01 11'}",10969.0,2
"{'city': '100 ail', 'hour': '2016-01-30 15'}",10713.0,4
"{'city': 'MNB', 'hour': '2016-02-02 01'}",10555.0,2
"{'city': 'MNB', 'hour': '2016-02-03 18'}",10362.0,2
"{'city': '100 ail', 'hour': '2016-01-31 01'}",10075.0,8
"{'city': '100 ail', 'hour': '2016-01-30 16'}",10022.0,7
"{'city': '100 ail', 'hour': '2016-01-31 00'}",10013.0,7
"{'city': '100 ail', 'hour': '2016-02-01 22'}",9956.0,6
"{'city': 'MNB', 'hour': '2016-02-04 19'}",9945.0,2
"{'city': 'MNB', 'hour': '2016-02-02 18'}",9912.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-05 16'}",9600.0,3
"{'city': 'MNB', 'hour': '2016-02-03 15'}",9583.0,2
"{'city': '100 ail', 'hour': '2016-01-30 19'}",9575.0,7
"{'city': 'MNB', 'hour': '2016-02-02 19'}",9491.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-05 17'}",9400.0,3
"{'city': '100 ail', 'hour': '2016-01-30 20'}",9294.0,8
"{'city': 'MNB', 'hour': '2016-02-04 20'}",9276.0,2
"{'city': '100 ail', 'hour': '2016-02-01 20'}",9138.0,8
"{'city': 'MNB', 'hour': '2016-02-03 16'}",9075.0,2
"{'city': 'MNB', 'hour': '2016-02-02 16'}",9028.0,2
"{'city': '100 ail', 'hour': '2016-01-29 23'}",8913.0,6
"{'city': '100 ail', 'hour': '2016-01-30 22'}",8854.0,5
"{'city': '100 ail', 'hour': '2016-02-01 01'}",8806.0,4
"{'city': 'MNB', 'hour': '2016-02-01 12'}",8716.0,2
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-05 15'}",8700.0,3
"{'city': 'MNB', 'hour': '2016-02-01 10'}",8695.0,2
"{'city': 'MNB', 'hour': '2016-02-01 19'}",8624.0,2
"{'city': '100 ail', 'hour': '2016-01-30 00'}",8534.0,8
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-05 18'}",8500.0,3
"{'city': '100 ail', 'hour': '2016-01-30 23'}",8466.0,4
"{'city': 'MNB', 'hour': '2016-02-04 16'}",8396.0,2
"{'city': '100 ail', 'hour': '2016-02-01 17'}",8375.0,8
"{'city': 'MNB', 'hour': '2016-02-01 20'}",8216.0,2
"{'city': '100 ail', 'hour': '2016-01-30 01'}",7975.0,8
"{'city': '100 ail', 'hour': '2016-02-01 21'}",7700.0,8
"{'city': '100 ail', 'hour': '2016-02-01 02'}",7547.0,8
"{'city': 'Punjabi Bagh, Delhi - DPCC', 'hour': '2016-02-05 18'}",7500.0,5
"{'city': 'R K Puram, Delhi - DPCC', 'hour': '2016-02-05 19'}",7400.0,3
"{'city': 'MNB', 'hour': '2016-02-01 01'}",7339.0,2
"{'city': '100 ail', 'hour': '2016-02-01 18'}",7216.0,8
"{'city': 'MNB', 'hour': '2016-02-02 17'}",7192.0,2
"{'city': 'MNB', 'hour': '2016-02-01 22'}",7184.0,2
"{'city': '100 ail', 'hour': '2016-02-01 19'}",7088.0,8
