timestamp,value,city,parameter
2016-11-06 16:15:00+01,106.9,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 16:00:00+01,116.8,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 15:45:00+01,120.3,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 15:30:00+01,122.2,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 15:15:00+01,122.4,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 15:00:00+01,131.8,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 14:45:00+01,114.0,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 14:30:00+01,122.5,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 14:15:00+01,145.1,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 14:00:00+01,156.5,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 13:45:00+01,185.8,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 13:30:00+01,190.3,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 13:15:00+01,168.2,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 13:00:00+01,154.5,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 12:45:00+01,143.0,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 12:30:00+01,133.4,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 12:15:00+01,146.6,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 12:00:00+01,144.9,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 11:45:00+01,146.4,Delhi Technological University, Delhi - CPCB,no2
2016-11-06 11:30:00+01,145.6,Delhi Technological University, Delhi - CPCB,no2
