city,hour,max_value,count
MNB,2016-02-02T14:00:00Z,15499.0,8
MNB,2016-02-02T15:00:00Z,14195.0,3
MNB,2016-02-02T13:00:00Z,13465.0,2
MNB,2016-02-04T18:00:00Z,12936.0,2
MNB,2016-02-04T17:00:00Z,11710.0,2
MNB,2016-02-01T23:00:00Z,11312.0,2
MNB,2016-02-02T00:00:00Z,11284.0,2
MNB,2016-02-03T17:00:00Z,11160.0,2
MNB,2016-02-01T11:00:00Z,10969.0,2
100 ail,2016-01-30T15:00:00Z,10713.0,4
MNB,2016-02-02T01:00:00Z,10555.0,2
MNB,2016-02-03T18:00:00Z,10362.0,2
100 ail,2016-01-31T01:00:00Z,10075.0,8
100 ail,2016-01-30T16:00:00Z,10022.0,7
100 ail,2016-01-31T00:00:00Z,10013.0,7
100 ail,2016-02-01T22:00:00Z,9956.0,6
MNB,2016-02-04T19:00:00Z,9945.0,2
MNB,2016-02-02T18:00:00Z,9912.0,2
R K Puram, Delhi - DPCC,2016-02-05T16:00:00Z,9600.0,3
MNB,2016-02-03T15:00:00Z,9583.0,2
100 ail,2016-01-30T19:00:00Z,9575.0,7
MNB,2016-02-02T19:00:00Z,9491.0,2
R K Puram, Delhi - DPCC,2016-02-05T17:00:00Z,9400.0,3
100 ail,2016-01-30T20:00:00Z,9294.0,8
MNB,2016-02-04T20:00:00Z,9276.0,2
100 ail,2016-02-01T20:00:00Z,9138.0,8
MNB,2016-02-03T16:00:00Z,9075.0,2
MNB,2016-02-02T16:00:00Z,9028.0,2
100 ail,2016-01-29T23:00:00Z,8913.0,6
100 ail,2016-01-30T22:00:00Z,8854.0,5
100 ail,2016-02-01T01:00:00Z,8806.0,4
MNB,2016-02-01T12:00:00Z,8716.0,2
R K Puram, Delhi - DPCC,2016-02-05T15:00:00Z,8700.0,3
MNB,2016-02-01T10:00:00Z,8695.0,2
MNB,2016-02-01T19:00:00Z,8624.0,2
100 ail,2016-01-30T00:00:00Z,8534.0,8
R K Puram, Delhi - DPCC,2016-02-05T18:00:00Z,8500.0,3
100 ail,2016-01-30T23:00:00Z,8466.0,4
MNB,2016-02-04T16:00:00Z,8396.0,2
100 ail,2016-02-01T17:00:00Z,8375.0,8
MNB,2016-02-01T20:00:00Z,8216.0,2
100 ail,2016-01-30T01:00:00Z,7975.0,8
100 ail,2016-02-01T21:00:00Z,7700.0,8
100 ail,2016-02-01T02:00:00Z,7547.0,8
Punjabi Bagh, Delhi - DPCC,2016-02-05T18:00:00Z,7500.0,5
R K Puram, Delhi - DPCC,2016-02-05T19:00:00Z,7400.0,3
MNB,2016-02-01T01:00:00Z,7339.0,2
100 ail,2016-02-01T18:00:00Z,7216.0,8
MNB,2016-02-02T17:00:00Z,7192.0,2
MNB,2016-02-01T22:00:00Z,7184.0,2
100 ail,2016-02-01T19:00:00Z,7088.0,8
100 ail,2016-01-31T02:00:00Z,6972.0,8
MNB,2016-02-02T20:00:00Z,6951.0,2
100 ail,2016-02-01T15:00:00Z,6938.0,7
MNB,2016-02-01T16:00:00Z,6924.0,2
MNB,2016-02-03T19:00:00Z,6922.0,2
MNB,2016-02-03T14:00:00Z,6786.0,2
MNB,2016-02-01T18:00:00Z,6782.0,2
100 ail,2016-02-01T14:00:00Z,6763.0,4
Amgalan,2016-01-31T00:00:00Z,6737.0,2
R K Puram, Delhi - DPCC,2016-02-05T20:00:00Z,6600.0,3
MNB,2016-02-01T14:00:00Z,6539.0,2
MNB,2016-02-01T13:00:00Z,6525.0,2
MNB,2016-02-01T21:00:00Z,6501.0,2
Baruun 4 zam,2016-02-01T20:00:00Z,6500.0,4
Punjabi Bagh, Delhi - DPCC,2016-02-05T17:00:00Z,6400.0,3
MNB,2016-02-02T02:00:00Z,6336.0,2
100 ail,2016-01-30T14:00:00Z,6300.0,4
MNB,2016-02-01T15:00:00Z,6212.0,2
MNB,2016-02-01T17:00:00Z,6168.0,2
100 ail,2016-02-01T16:00:00Z,6003.0,8
100 ail,2016-01-30T17:00:00Z,6003.0,8
100 ail,2016-01-30T13:00:00Z,6000.0,4
Amgalan,2016-01-31T01:00:00Z,5921.0,2
R K Puram, Delhi - DPCC,2016-02-05T14:00:00Z,5900.0,1
MNB,2016-02-02T21:00:00Z,5890.0,2
Amgalan,2016-02-02T11:00:00Z,5863.0,2
Baruun 4 zam,2016-02-01T19:00:00Z,5719.0,3
Baruun 4 zam,2016-02-01T14:00:00Z,5681.0,4
Amgalan,2016-02-02T12:00:00Z,5533.0,2
Baruun 4 zam,2016-02-01T16:00:00Z,5525.0,4
100 ail,2016-02-01T10:00:00Z,5488.0,4
100 ail,2016-02-01T11:00:00Z,5438.0,4
Baruun 4 zam,2016-02-01T18:00:00Z,5413.0,4
Punjabi Bagh, Delhi - DPCC,2016-02-05T16:00:00Z,5400.0,3
MNB,2016-02-02T12:00:00Z,5387.0,2
100 ail,2016-02-01T13:00:00Z,5279.0,5
MNB,2016-02-04T15:00:00Z,5210.0,2
Baruun 4 zam,2016-01-30T16:00:00Z,5188.0,4
100 ail,2016-02-01T12:00:00Z,5188.0,5
Bukhiin urguu,2016-01-30T14:00:00Z,5125.0,4
Baruun 4 zam,2016-02-01T15:00:00Z,5059.0,4
Baruun 4 zam,2016-02-01T17:00:00Z,5017.0,4
R K Puram, Delhi - DPCC,2016-02-08T15:00:00Z,5000.0,3
Baruun 4 zam,2016-02-01T02:00:00Z,4925.0,4
Baruun 4 zam,2016-02-01T01:00:00Z,4917.0,2
Amgalan,2016-01-30T15:00:00Z,4861.0,2
100 ail,2016-01-30T18:00:00Z,4803.0,7
Amgalan,2016-02-02T17:00:00Z,4784.0,2
Baruun 4 zam,2016-01-30T17:00:00Z,4747.0,4
R K Puram, Delhi - DPCC,2016-02-08T14:00:00Z,4700.0,3
Amgalan,2016-02-02T09:00:00Z,4657.0,2
Amgalan,2016-01-31T13:00:00Z,4591.0,2
Amgalan,2016-01-31T21:00:00Z,4504.0,2
MNB,2016-02-01T02:00:00Z,4502.0,2
Amgalan,2016-01-30T16:00:00Z,4495.0,2
Amgalan,2016-01-31T14:00:00Z,4461.0,2
Bukhiin urguu,2016-01-30T23:00:00Z,4450.0,4
Amgalan,2016-02-02T18:00:00Z,4428.0,2
Amgalan,2016-01-31T17:00:00Z,4407.0,2
Amgalan,2016-02-02T13:00:00Z,4402.0,2
Amgalan,2016-01-31T20:00:00Z,4352.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-05T19:00:00Z,4300.0,6
Amgalan,2016-01-30T17:00:00Z,4259.0,2
Amgalan,2016-02-02T10:00:00Z,4254.0,2
Amgalan,2016-01-31T18:00:00Z,4249.0,2
Amgalan,2016-02-02T14:00:00Z,4240.0,2
MNB,2016-02-02T22:00:00Z,4130.0,2
R K Puram, Delhi - DPCC,2016-02-08T16:00:00Z,4100.0,3
Baruun 4 zam,2016-01-30T15:00:00Z,4079.0,4
MNB,2016-02-03T00:00:00Z,4014.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-05T15:00:00Z,4000.0,3
MNB,2016-02-03T01:00:00Z,3987.0,2
Amgalan,2016-01-31T16:00:00Z,3940.0,2
Amgalan,2016-01-31T15:00:00Z,3869.0,2
Baruun 4 zam,2016-02-01T13:00:00Z,3863.0,4
Amgalan,2016-02-02T15:00:00Z,3832.0,2
100 ail,2016-01-30T21:00:00Z,3603.0,8
Baruun 4 zam,2016-01-31T04:00:00Z,3569.0,1
Bukhiin urguu,2016-01-30T20:00:00Z,3559.0,4
Baruun 4 zam,2016-01-30T18:00:00Z,3546.0,4
Amgalan,2016-01-31T02:00:00Z,3545.0,2
Baruun 4 zam,2016-01-30T19:00:00Z,3513.0,3
R K Puram, Delhi - DPCC,2016-02-06T18:00:00Z,3500.0,3
Baruun 4 zam,2016-01-31T03:00:00Z,3500.0,4
Amgalan,2016-02-02T16:00:00Z,3494.0,2
Amgalan,2016-01-31T12:00:00Z,3494.0,2
